年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,29,月,野菜総計,30000,,,13631834,303,115.6,102.0
2025,9,29,月,野菜総計,30000,北海道,001,4913445,228,,
2025,9,29,月,野菜総計,30000,長　野,020,2757346,206,,
2025,9,29,月,野菜総計,30000,群　馬,010,1814423,185,,
2025,9,29,月,野菜総計,30000,青　森,002,633240,305,,
2025,9,29,月,野菜総計,30000,茨　城,008,629749,459,,
2025,9,29,月,野菜総計,30000,岩　手,003,309738,307,,
2025,9,29,月,野菜総計,30000,千　葉,012,266048,452,,
2025,9,29,月,だいこん,30100,,,1098402,150,106.1,100.7
2025,9,29,月,だいこん,30100,北海道,001,570495,158,,
2025,9,29,月,だいこん,30100,青　森,002,365823,141,,
2025,9,29,月,かぶ,30200,,,48509,194,100.8,101.0
2025,9,29,月,かぶ,30200,千　葉,012,25221,159,,
2025,9,29,月,かぶ,30200,青　森,002,13821,291,,
2025,9,29,月,にんじん,30300,,,874933,133,107.5,97.8
2025,9,29,月,にんじん,30300,北海道,001,851343,133,,
2025,9,29,月,ごぼう,30400,,,67830,380,98.1,100.3
2025,9,29,月,ごぼう,30400,青　森,002,37959,286,,
2025,9,29,月,ごぼう,30400,鹿児島,046,14191,669,,
2025,9,29,月,ごぼう,30400,宮　崎,045,3764,640,,
2025,9,29,月,たけのこ,30500,,,20,740,55.6,107.2
2025,9,29,月,たけのこ,30500,鹿児島,046,20,740,,
2025,9,29,月,れんこん,30600,,,83643,414,87.7,100.5
2025,9,29,月,れんこん,30600,茨　城,008,45999,413,,
2025,9,29,月,れんこん,30600,佐　賀,041,14095,347,,
2025,9,29,月,れんこん,30600,徳　島,036,8834,488,,
2025,9,29,月,はくさい,31100,,,1382414,120,130.5,106.2
2025,9,29,月,はくさい,31100,長　野,020,1258103,119,,
2025,9,29,月,みずな,31300,,,39047,478,108.4,96.4
2025,9,29,月,みずな,31300,茨　城,008,28039,444,,
2025,9,29,月,みずな,31300,福　岡,040,5533,535,,
2025,9,29,月,こまつな,31500,,,168522,435,121.3,97.8
2025,9,29,月,こまつな,31500,茨　城,008,86873,426,,
2025,9,29,月,こまつな,31500,福　岡,040,22689,455,,
2025,9,29,月,こまつな,31500,群　馬,010,22583,401,,
2025,9,29,月,こまつな,31500,北海道,001,6222,467,,
2025,9,29,月,その他の菜類,31550,,,891,662,97.4,104.3
2025,9,29,月,ちんげんさい,31560,,,30184,493,99.7,96.1
2025,9,29,月,ちんげんさい,31560,茨　城,008,11420,474,,
2025,9,29,月,ちんげんさい,31560,静　岡,022,5467,577,,
2025,9,29,月,ちんげんさい,31560,長　野,020,3999,374,,
2025,9,29,月,ちんげんさい,31560,埼　玉,011,1690,421,,
2025,9,29,月,ちんげんさい,31560,福　岡,040,1689,532,,
2025,9,29,月,キャベツ,31700,,,1790317,94,107.0,103.3
2025,9,29,月,キャベツ,31700,群　馬,010,1346289,92,,
2025,9,29,月,キャベツ,31700,長　野,020,207093,97,,
2025,9,29,月,ほうれんそう,31800,,,60869,1152,126.2,99.7
2025,9,29,月,ほうれんそう,31800,岐　阜,021,21459,1152,,
2025,9,29,月,ほうれんそう,31800,群　馬,010,15898,1095,,
2025,9,29,月,ほうれんそう,31800,栃　木,009,10078,1244,,
2025,9,29,月,ほうれんそう,31800,北海道,001,4969,1002,,
2025,9,29,月,ねぎ,31900,,,419412,524,109.9,101.0
2025,9,29,月,ねぎ,31900,北海道,001,161902,473,,
2025,9,29,月,ねぎ,31900,青　森,002,53106,528,,
2025,9,29,月,ねぎ,31900,秋　田,005,51557,490,,
2025,9,29,月,ねぎ,31900,長　野,020,36499,440,,
2025,9,29,月,ねぎ,31900,茨　城,008,16572,423,,
2025,9,29,月,ふき,32300,,,3,1440,100.0,94.1
2025,9,29,月,ふき,32300,徳　島,036,3,1440,,
2025,9,29,月,うど,32400,,,36,534,600.0,40.1
2025,9,29,月,うど,32400,茨　城,008,36,534,,
2025,9,29,月,みつば,32500,,,8810,1177,98.5,101.6
2025,9,29,月,みつば,32500,三　重,024,1328,1678,,
2025,9,29,月,みつば,32500,愛　知,023,1250,1105,,
2025,9,29,月,みつば,32500,千　葉,012,1250,1083,,
2025,9,29,月,みつば,32500,静　岡,022,1091,1089,,
2025,9,29,月,みつば,32500,茨　城,008,907,960,,
2025,9,29,月,しゅんぎく,32600,,,4073,1761,133.3,101.1
2025,9,29,月,しゅんぎく,32600,北海道,001,861,1466,,
2025,9,29,月,しゅんぎく,32600,岐　阜,021,683,2314,,
2025,9,29,月,しゅんぎく,32600,福　岡,040,514,1471,,
2025,9,29,月,しゅんぎく,32600,岩　手,003,468,2058,,
2025,9,29,月,しゅんぎく,32600,群　馬,010,390,2099,,
2025,9,29,月,にら,32800,,,61717,915,107.8,101.7
2025,9,29,月,にら,32800,高　知,039,27779,898,,
2025,9,29,月,にら,32800,茨　城,008,7316,883,,
2025,9,29,月,にら,32800,栃　木,009,6059,1029,,
2025,9,29,月,にら,32800,大　分,044,5600,809,,
2025,9,29,月,にら,32800,山　形,006,4608,935,,
2025,9,29,月,セルリー,32900,,,47316,259,88.5,100.4
2025,9,29,月,セルリー,32900,長　野,020,44531,254,,
2025,9,29,月,アスパラガス,33100,,,26633,1175,126.6,100.2
2025,9,29,月,アスパラガス,33100,佐　賀,041,4357,1205,,
2025,9,29,月,アスパラガス,33100,栃　木,009,3633,1091,,
2025,9,29,月,アスパラガス,33100,熊　本,043,2790,1091,,
2025,9,29,月,アスパラガス,33100,長　崎,042,2662,1001,,
2025,9,29,月,アスパラガス,33100,福　岡,040,2169,1110,,
2025,9,29,月,　　うち輸入,33101,,,4090,1401,118.3,105.7
2025,9,29,月,カリフラワー,33200,,,16716,296,115.2,98.7
2025,9,29,月,カリフラワー,33200,長　野,020,10911,313,,
2025,9,29,月,カリフラワー,33200,新　潟,015,2214,353,,
2025,9,29,月,カリフラワー,33200,北海道,001,1206,259,,
2025,9,29,月,ブロッコリー,33300,,,209321,631,116.2,103.4
2025,9,29,月,ブロッコリー,33300,北海道,001,144704,573,,
2025,9,29,月,ブロッコリー,33300,長　野,020,62707,770,,
2025,9,29,月,レタス,33400,,,1058768,231,138.3,107.9
2025,9,29,月,レタス,33400,長　野,020,904182,236,,
2025,9,29,月,パセリ,33600,,,2048,4181,97.3,109.1
2025,9,29,月,パセリ,33600,長　野,020,1290,4121,,
2025,9,29,月,パセリ,33600,千　葉,012,181,3276,,
2025,9,29,月,パセリ,33600,北海道,001,157,3855,,
2025,9,29,月,パセリ,33600,大　分,044,134,3781,,
2025,9,29,月,きゅうり,34100,,,730613,489,163.2,102.5
2025,9,29,月,きゅうり,34100,群　馬,010,127496,550,,
2025,9,29,月,きゅうり,34100,北海道,001,102915,434,,
2025,9,29,月,きゅうり,34100,福　島,007,87246,521,,
2025,9,29,月,きゅうり,34100,埼　玉,011,55043,520,,
2025,9,29,月,きゅうり,34100,佐　賀,041,50890,481,,
2025,9,29,月,かぼちゃ,34200,,,440924,210,98.4,102.9
2025,9,29,月,かぼちゃ,34200,北海道,001,409737,185,,
2025,9,29,月,なす,34300,,,378028,416,143.3,101.5
2025,9,29,月,なす,34300,群　馬,010,97880,425,,
2025,9,29,月,なす,34300,高　知,039,55555,515,,
2025,9,29,月,なす,34300,茨　城,008,46887,319,,
2025,9,29,月,なす,34300,栃　木,009,44975,435,,
2025,9,29,月,なす,34300,熊　本,043,30460,447,,
2025,9,29,月,トマト,34400,,,570061,704,125.9,102.3
2025,9,29,月,トマト,34400,岐　阜,021,157490,737,,
2025,9,29,月,トマト,34400,北海道,001,118790,681,,
2025,9,29,月,トマト,34400,千　葉,012,41459,635,,
2025,9,29,月,トマト,34400,群　馬,010,39820,666,,
2025,9,29,月,トマト,34400,熊　本,043,37994,670,,
2025,9,29,月,ミニトマト,34450,,,211002,1116,126.3,98.3
2025,9,29,月,ミニトマト,34450,北海道,001,72584,1201,,
2025,9,29,月,ミニトマト,34450,茨　城,008,43862,964,,
2025,9,29,月,ミニトマト,34450,山　形,006,17391,1110,,
2025,9,29,月,ミニトマト,34450,青　森,002,14680,1177,,
2025,9,29,月,ミニトマト,34450,千　葉,012,14244,952,,
2025,9,29,月,ピーマン,34500,,,221625,596,117.7,104.7
2025,9,29,月,ピーマン,34500,茨　城,008,64554,683,,
2025,9,29,月,ピーマン,34500,岩　手,003,51394,454,,
2025,9,29,月,ピーマン,34500,青　森,002,21524,450,,
2025,9,29,月,ピーマン,34500,大　分,044,16182,610,,
2025,9,29,月,ピーマン,34500,北海道,001,15943,592,,
2025,9,29,月,ししとう,34600,,,12634,1322,105.2,103.4
2025,9,29,月,ししとう,34600,京　都,026,4135,939,,
2025,9,29,月,ししとう,34600,高　知,039,4111,1823,,
2025,9,29,月,ししとう,34600,千　葉,012,1792,1606,,
2025,9,29,月,ししとう,34600,長　崎,042,452,564,,
2025,9,29,月,スイトコーン,34700,,,5078,316,75.0,90.5
2025,9,29,月,スイトコーン,34700,北海道,001,4073,317,,
2025,9,29,月,さやいんげん,35100,,,9421,1578,149.4,100.6
2025,9,29,月,さやいんげん,35100,福　島,007,2649,1596,,
2025,9,29,月,さやいんげん,35100,鹿児島,046,1732,1570,,
2025,9,29,月,さやいんげん,35100,青　森,002,1160,1436,,
2025,9,29,月,さやいんげん,35100,群　馬,010,922,1330,,
2025,9,29,月,さやいんげん,35100,北海道,001,696,2345,,
2025,9,29,月,さやえんどう,35200,,,2586,1977,145.0,77.6
2025,9,29,月,さやえんどう,35200,北海道,001,1121,3212,,
2025,9,29,月,さやえんどう,35200,青　森,002,107,3957,,
2025,9,29,月,さやえんどう,35200,岩　手,003,20,2943,,
2025,9,29,月,さやえんどう,35200,静　岡,022,19,4860,,
2025,9,29,月,さやえんどう,35200,秋　田,005,13,3024,,
2025,9,29,月,　　うち輸入,35201,,,1300,672,196.1,48.4
2025,9,29,月,えだまめ,35500,,,27322,1027,121.0,101.6
2025,9,29,月,えだまめ,35500,群　馬,010,8890,1303,,
2025,9,29,月,えだまめ,35500,山　形,006,6922,925,,
2025,9,29,月,えだまめ,35500,秋　田,005,6741,761,,
2025,9,29,月,かんしょ,36100,,,395737,294,102.7,99.3
2025,9,29,月,かんしょ,36100,茨　城,008,183366,271,,
2025,9,29,月,かんしょ,36100,千　葉,012,119138,291,,
2025,9,29,月,かんしょ,36100,徳　島,036,60160,353,,
2025,9,29,月,ばれいしょ,36200,,,782852,165,108.2,112.2
2025,9,29,月,ばれいしょ,36200,北海道,001,761396,166,,
2025,9,29,月,さといも,36300,,,66458,419,96.2,105.8
2025,9,29,月,さといも,36300,千　葉,012,22759,331,,
2025,9,29,月,さといも,36300,埼　玉,011,17460,396,,
2025,9,29,月,さといも,36300,愛　媛,038,13267,437,,
2025,9,29,月,やまのいも,36500,,,119055,505,118.7,101.2
2025,9,29,月,やまのいも,36500,北海道,001,58245,493,,
2025,9,29,月,やまのいも,36500,青　森,002,54466,497,,
2025,9,29,月,たまねぎ,36610,,,1510006,171,121.4,90.0
2025,9,29,月,たまねぎ,36610,北海道,001,1391859,173,,
2025,9,29,月,　　うち輸入,36620,,,78417,103,145.0,98.1
2025,9,29,月,にんにく,36700,,,14221,1233,94.3,97.5
2025,9,29,月,にんにく,36700,青　森,002,5169,2514,,
2025,9,29,月,にんにく,36700,北海道,001,440,1365,,
2025,9,29,月,にんにく,36700,岩　手,003,33,898,,
2025,9,29,月,にんにく,36700,神奈川,014,21,2808,,
2025,9,29,月,にんにく,36700,佐　賀,041,20,1512,,
2025,9,29,月,　　うち輸入,36701,,,8529,446,114.0,93.9
2025,9,29,月,しょうが,37200,,,26323,895,91.8,99.6
2025,9,29,月,しょうが,37200,高　知,039,7921,1404,,
2025,9,29,月,しょうが,37200,千　葉,012,5275,585,,
2025,9,29,月,しょうが,37200,和歌山,030,3284,594,,
2025,9,29,月,しょうが,37200,長　崎,042,3152,738,,
2025,9,29,月,しょうが,37200,熊　本,043,1241,1277,,
2025,9,29,月,　　うち輸入,37201,,,4859,557,95.0,101.3
2025,9,29,月,生しいたけ,38100,,,64293,1033,101.1,101.8
2025,9,29,月,生しいたけ,38100,徳　島,036,11449,981,,
2025,9,29,月,生しいたけ,38100,秋　田,005,11227,1159,,
2025,9,29,月,生しいたけ,38100,岩　手,003,5797,1085,,
2025,9,29,月,生しいたけ,38100,長　崎,042,4657,996,,
2025,9,29,月,生しいたけ,38100,兵　庫,028,4169,1147,,
2025,9,29,月,　　うち輸入,38101,,,1204,785,91.6,102.7
2025,9,29,月,なめこ,38300,,,23956,445,81.4,100.2
2025,9,29,月,なめこ,38300,長　野,020,6831,465,,
2025,9,29,月,なめこ,38300,新　潟,015,3856,244,,
2025,9,29,月,なめこ,38300,山　形,006,3254,474,,
2025,9,29,月,なめこ,38300,三　重,024,2414,593,,
2025,9,29,月,なめこ,38300,大　分,044,1827,506,,
2025,9,29,月,えのきだけ,38400,,,149669,309,101.5,97.2
2025,9,29,月,えのきだけ,38400,長　野,020,100929,308,,
2025,9,29,月,えのきだけ,38400,新　潟,015,17450,312,,
2025,9,29,月,えのきだけ,38400,福　岡,040,7903,304,,
2025,9,29,月,しめじ,38500,,,84075,435,69.9,102.1
2025,9,29,月,しめじ,38500,長　野,020,50486,407,,
2025,9,29,月,しめじ,38500,福　岡,040,10851,422,,
2025,9,29,月,しめじ,38500,新　潟,015,7061,426,,
2025,9,29,月,その他の野菜,39000,,,285556,1051,90.8,103.6
2025,9,29,月,輸入野菜計,39100,,,153797,502,115.0,88.5
2025,9,29,月,他の輸入野菜,39200,,,55402,994,89.9,107.0
