データコード,PR01'PRCG20_2200000000,PR01'PRCG20_2200550001,PR01'PRCG20_2200550045,PR01'PRCG20_2200620001,PR01'PRCG20_2200650002,PR01'PRCG20_2200650004,PR01'PRCG20_2200650005,PR01'PRCG20_2200650006
系列名称,"[国内企業物価指数] 総平均","品目/____化学肥料","品目/____農薬","類別/_石油・石炭製品","品目/____ナフサ","品目/____灯油","品目/____軽油","品目/____Ａ重油"
2000/01,97.2,67.2,92.7,55.5,58.9,43.1,43.3,39.8
2000/02,97.2,67.5,92.7,55.6,58.9,43.3,43.7,40.2
2000/03,97.1,67.8,92.7,56.8,58.9,45,45.5,41.8
2000/04,96.9,68.1,92.7,57.9,63.3,45.9,46.3,42.1
2000/05,96.7,68.1,92.7,56.8,63.3,44.3,44.6,40.5
2000/06,96.7,68.1,92.7,58,63.3,46.5,46.9,42.7
2000/07,96.8,66.5,92.7,59.3,66.3,47.9,48.2,44.1
2000/08,96.8,66.8,92.7,59.5,66.3,48,48.3,44.2
2000/09,96.6,67.1,92.7,59.4,66.3,47.9,48.1,44.1
2000/10,96,67.2,92.7,61.7,74.9,50.6,50.8,46.6
2000/11,95.8,66.3,92.7,62.1,74.9,51.1,51.3,47
2000/12,95.8,66.7,92.6,62.5,74.9,51.2,51.6,47.3
2001/01,95.4,67,92.6,60.4,70,49.1,49.4,45.2
2001/02,95.4,67.3,92.1,60.4,70,49.3,49.5,45.3
2001/03,95.2,67.6,92.1,61.3,70,50.9,51.2,46.9
2001/04,94.9,67.9,92.1,61.6,73.8,50.9,51.2,46.9
2001/05,94.7,67.8,92.1,62.2,73.8,51.9,52.2,47.9
2001/06,94.5,67.7,92.1,62.9,73.8,53,53.3,49
2001/07,94.4,67.1,92.1,63.4,68.8,54,54.3,49.9
2001/08,94.2,67.7,92.1,63.3,68.8,53.5,53.9,49.5
2001/09,94.1,67.9,92.1,63.3,68.8,53.6,53.9,49.6
2001/10,93.4,67.9,92.1,62,58.4,53.5,53.9,49.5
2001/11,93.3,67.1,92.1,61.1,58.4,51.7,52.1,47.7
2001/12,93.2,67.3,89.8,60.4,58.4,50.7,50.9,46.6
2002/01,92.9,67.9,89.8,59.6,56.3,50.9,51.2,46.8
2002/02,92.9,68.2,87.4,60.9,56.3,53,53.3,48.8
2002/03,92.9,68.5,87.4,61.4,56.3,53.8,54,49.7
2002/04,92.7,68.7,87.4,64.5,68.4,56.8,57.2,52.7
2002/05,92.7,68.7,87.4,66.2,68.4,59.7,60.2,55.5
2002/06,92.6,68.7,87.4,66.2,68.4,59.7,60.1,55.5
2002/07,92.5,67.3,87.4,66,63.6,59.3,59.7,55.1
2002/08,92.4,67.5,87.4,65.8,63.6,59.2,59.5,55
2002/09,92.2,67.8,87.4,65.8,63.6,59.2,59.7,55.1
2002/10,91.9,67.8,87.4,67.5,69.4,61,61.4,56.7
2002/11,92,66.9,87.4,68.3,69.4,62.1,62.5,57.9
2002/12,91.8,67.2,87.4,68,69.4,61.3,61.8,57.1
2003/01,91.8,67.7,87.4,69.2,79.3,62.5,62.8,58.2
2003/02,92,68,87.4,70.1,79.3,64.2,64.6,59.7
2003/03,92,68.3,87.4,71.7,79.3,66.4,66.9,61.9
2003/04,91.8,68.5,87.4,71.1,80,63.5,65.4,61.4
2003/05,91.5,68.5,87.4,68.6,77.2,57.4,62.4,55.6
2003/06,91.3,68.5,87.4,66.9,75.2,55.2,59.5,51.8
2003/07,91.6,67.5,87.4,67.2,70.1,56.6,60.9,54.5
2003/08,91.6,67.8,87.4,67.5,70.7,57.6,61.2,54.4
2003/09,91.6,68.1,87.4,67.7,71.1,58.4,61.1,54.6
2003/10,91.4,68.1,87.4,67.2,69.7,57.4,60.3,54.5
2003/11,91.5,67.3,87.4,67.7,69.7,58.9,61,56.6
2003/12,91.6,67.5,86.7,67.3,70.5,56.8,60.5,55.4
2004/01,91.8,68.2,86.7,68,79.7,58.3,60.2,55.4
2004/02,92,68.5,86.7,68.6,81.3,60,61.2,56.5
2004/03,92.2,68.9,86.7,69.3,81.9,61.4,62.5,57.5
2004/04,92.5,69.2,86.7,71,84.5,61.5,64.3,58
2004/05,92.5,69.2,86.7,71.8,85.3,62.1,64.8,59.2
2004/06,92.8,69.2,86.7,75,86.1,67.1,70.1,64
2004/07,93.3,70.1,86.7,76.2,91,67.1,69.9,64.4
2004/08,93.3,70.4,86.7,76.5,91.5,68.5,70.5,64.3
2004/09,93.4,70.6,86.7,79.4,93.4,74.7,75,68.7
2004/10,93.4,70.6,86.7,80.4,102.7,76.1,75,68.3
2004/11,93.5,69.8,86.7,81.7,103.2,79.5,78.2,70.8
2004/12,93.4,70.1,86.9,80,102.7,74.3,75.1,68.7
2005/01,93.4,71,86.9,78.2,98,72.3,73,67.3
2005/02,93.5,71.3,86.9,78.4,96.8,75.6,73.5,67.2
2005/03,93.7,71.5,86.9,80.8,98,82.4,77.4,72.2
2005/04,94.2,71.9,86.9,87.7,108.7,89.3,86.5,84.9
2005/05,94.1,71.9,86.9,89.1,109.2,87.6,89.1,85.4
2005/06,94,71.9,86.9,87.6,108,84.7,85.9,82
2005/07,94.5,72.6,86.9,92.2,112.8,90,91.9,87.2
2005/08,94.7,72.9,86.9,94.8,114.4,94.8,95.6,91.1
2005/09,94.8,73,86.9,96.6,118,97.9,98.6,93.7
2005/10,95,73,86.9,100,139.6,99.2,100.2,94.7
2005/11,95,72.8,86.9,99.6,140.4,97.3,98.6,93.5
2005/12,95.2,73,86.9,99.9,139,102.1,97.3,95.9
2006/01,95.3,73.5,86.9,100.8,135.5,109.8,99,97.9
2006/02,95.6,74,86.9,102.7,135.5,110.5,103.3,101.5
2006/03,95.6,74.5,86.9,103.3,135.5,105.7,103.8,101.5
2006/04,95.9,74.9,86.9,104.7,142.6,106.1,104.9,102.8
2006/05,96.4,74.9,86.9,107.9,142.6,112.2,111.7,108.5
2006/06,96.4,75.1,86.9,107.9,142.6,111.7,111.2,107.7
2006/07,96.9,75.9,86.9,110.3,158.3,113.4,112.5,109.1
2006/08,97.2,76.1,86.9,113.7,158.3,118.8,118.6,115.2
2006/09,97.4,76.4,86.9,114.1,158.3,118.4,118.9,115
2006/10,96.9,76.4,86.9,107.3,140.4,108.4,109.5,104.8
2006/11,96.8,75.9,86.9,104.3,140.4,103.9,104.8,100.9
2006/12,96.8,76.1,86.9,104,140.4,106.4,105,100.8
2007/01,96.8,76.6,86.9,102.5,142.6,102.5,103.2,98.8
2007/02,96.8,76.7,86.9,100.4,142.6,96.8,97.9,93.9
2007/03,96.8,76.9,86.9,101.3,142.6,99.5,100.9,95.8
2007/04,97.7,77.2,86.9,106.3,169.2,104.5,106.4,100.7
2007/05,97.9,77.2,86.9,110.8,169.2,112,114.8,107.6
2007/06,98,77.2,86.9,112.5,169.2,114.6,116.7,108.7
2007/07,98.6,81.1,86.9,116.1,174.8,117.6,119.7,111.2
2007/08,98.7,81.3,86.9,117.4,174.8,118.4,120.9,112.8
2007/09,98.6,82,86.9,115.3,174.8,115.3,117.9,110.2
2007/10,98.9,82.2,86.9,119.8,180.5,123.3,125,115.3
2007/11,99.1,81.6,86.9,125.6,180.5,136.8,134.5,126.2
2007/12,99.4,81.8,87,129.9,180.5,144.1,141.5,136.6
2008/01,99.7,82.6,87,131.2,195.5,138.9,138.9,134.9
2008/02,100.2,82.8,87,130.5,195.5,137.4,138.1,134.9
2008/03,100.7,83.7,87,132.1,195.5,141.2,141.4,138.8
2008/04,101.6,87.2,87,128.9,208.1,142.6,144.3,142.4
2008/05,102.8,89,87,142.9,208.1,154.7,155.2,153.6
2008/06,103.7,89,87.1,153.8,208.1,175.7,176.1,173.6
2008/07,106,117.6,87.2,169.2,252.4,192.7,193.4,192.7
2008/08,106.1,118,87.2,170,252.4,191.6,193.5,191.9
2008/09,105.4,118.3,87.2,160.9,252.4,172,174.9,172.5
2008/10,103.4,118.6,87.2,134.6,152,144,150.4,146.6
2008/11,101.5,118,87.2,114.9,152,108.7,118,113.4
2008/12,100.2,118.3,90.3,99.7,152,92.3,94.7,89.2
2009/01,98.7,117.9,90.3,83.6,78.1,83.1,81,78.4
2009/02,98.2,118,94.7,82.3,78.1,79.8,74,73.6
2009/03,98,118.3,94.7,82.3,78.1,71.4,73.1,71.3
2009/04,97.4,118.5,94.7,86,97.1,76.4,76.4,76.5
2009/05,97,118.4,94.7,87.5,97.1,78.6,78.6,76.7
2009/06,96.7,118.4,94.7,89.8,97.1,83,81.7,80.6
2009/07,97.1,97.6,94.7,96.7,120.6,89.9,89.6,89.4
2009/08,97,97.7,94.7,97.7,120.6,90.6,89.6,88.5
2009/09,97.1,98,94.7,100,120.6,94.1,94.7,93.8
2009/10,96.4,98,94.7,98.9,124.5,91.3,93,91.5
2009/11,96.4,97.4,94.7,99.5,124.5,96.9,95.9,94.8
2009/12,96.5,97.6,94.7,100.2,124.5,97.4,97.5,96.7
2010/01,97.1,97.7,94.6,103.2,139.7,101,100,99.8
2010/02,97.1,98.5,94.6,103.9,139.7,100.3,99.9,101.2
2010/03,97.1,97.8,94.6,105.2,139.7,100.3,101.7,103.2
2010/04,97.4,99,94.4,109.9,145.2,107.7,108.3,108.6
2010/05,97.4,99,94.4,113,145.2,114.6,113.4,112.8
2010/06,97.1,92.8,94.4,109.7,145.2,105.2,109.7,106.8
2010/07,97.1,92.5,94.4,106.6,124.9,103.4,107.8,105
2010/08,97,92.2,94.5,105.7,124.9,102.4,107.3,101
2010/09,97,92.3,94.5,103.2,124.9,99.2,100.8,95.2
2010/10,96.9,92.6,94.5,104.7,132.1,104.5,102.7,97.4
2010/11,96.8,93.5,94.5,105.5,132.1,106.4,105,100.1
2010/12,97.3,93.3,94.9,109,132.1,115,111,107.1
2011/01,97.7,93.5,94.9,114.6,153.8,123.2,116.8,114.3
2011/02,97.8,93.5,94.9,115.5,153.8,125.8,118.4,118.2
2011/03,98.3,93.3,94.9,122.5,153.8,131.8,132.6,131.8
2011/04,99.1,93.8,94.9,128.2,169.9,135.5,137.9,138.8
2011/05,98.9,93.9,94.9,127.5,169.9,135.1,134.9,135.7
2011/06,98.9,95.7,94.9,126,169.9,129.4,130.3,129
2011/07,99.2,96,94.9,125.2,159.5,124,129.9,125.3
2011/08,99.1,96,94.9,122.7,159.5,119.1,125.5,120.3
2011/09,98.9,96,94.9,119.6,159.5,116.6,119.1,116.5
2011/10,98.1,96,94.9,117.3,150,118.1,117.2,115.6
2011/11,98,98.7,94.9,119.3,150,126.5,123.7,120.2
2011/12,98,98.7,94.9,119.5,150,124.7,124.7,124.4
2012/01,97.9,98.7,94.9,120.9,157.1,129.1,125.6,128.6
2012/02,98.1,99.5,94.9,122.5,157.1,132.2,126.9,130.9
2012/03,98.6,99.3,94.9,131.2,157.1,142.3,142.1,142.5
2012/04,98.4,99.3,94.9,133.8,178.7,139.6,142.8,143.3
2012/05,98,99.3,94.9,127.8,178.7,128.9,133.5,134.3
2012/06,97.5,99.1,94.9,121,178.7,117.4,122,123.8
2012/07,97.1,99.1,94.9,114.7,144.4,114.3,114.8,115.9
2012/08,97.2,99.1,94.9,117.6,144.4,122.3,120.5,120.9
2012/09,97.5,99.1,94.9,122.2,144.4,129.7,127.3,127.3
2012/10,97.1,99,94.9,122.2,162.3,126.8,123.9,124.1
2012/11,97,98.9,94.9,121.5,162.3,127.6,123,123.3
2012/12,97.4,98.9,94.9,124.5,162.3,137.4,128.6,129.2
2013/01,97.6,99,94.9,129.1,186.3,146.7,133.4,135.1
2013/02,98,99,94.9,132.9,186.3,146.6,140.9,142.9
2013/03,98.1,99,94.9,133.6,186.3,139,143,144.3
2013/04,98.5,99,94.9,132.9,191.4,135.1,141.2,141.3
