系列名称,"[国内企業物価指数] 総平均","品目/____化学肥料","品目/____農薬","類別/_石油・石炭製品","品目/____ナフサ","品目/____灯油","品目/____軽油","品目/____Ａ重油"
2025/01,125.5,157.8,117.9,162.4,227.7,181.2,180.6,185.5
2025/02,125.8,157.8,117.9,165.2,227.7,184.6,184.2,188.5
2025/03,126.2,157.8,117.9,169.3,227.7,190.6,190,194.4
2025/04,126.6,157.8,117.9,166.9,204.9,192,189.7,194.9
2025/05,126.5,157.8,117.9,159.2,204.9,178.4,176.2,181.4
2025/06,126.4,159.6,117.9,151.9,202.4,172.8,163.1,175.6
2025/07,126.7,159.6,117.9,154.5,196.6,178.8,168.3,182.9
2025/08,126.5,160.5,117.9,155.7,196.6,181.1,170.1,183.9
2025/09,126.9,160.5,117.9,156.6,196.6,182.9,172.2,185.4
2025/10,,,,,,,,
2025/11,,,,,,,,
2025/12,,,,,,,,
