年月,熊本_日最高気温の平均(℃),品質情報,熊本_日最低気温の平均(℃),品質情報,熊本_猛暑日数(日),品質情報,熊本_熱帯夜日数(日),品質情報,熊本_降水量の合計(mm),現象なし情報,品質情報,熊本_日照時間(時間),現象なし情報,品質情報,札幌_日最高気温の平均(℃),品質情報,札幌_日最低気温の平均(℃),品質情報,札幌_猛暑日数(日),品質情報,札幌_熱帯夜日数(日),品質情報,札幌_降水量の合計(mm),現象なし情報,品質情報,札幌_日照時間(時間),現象なし情報,品質情報,伊良湖_日最高気温の平均(℃),品質情報,伊良湖_日最低気温の平均(℃),品質情報,伊良湖_猛暑日数(日),品質情報,伊良湖_熱帯夜日数(日),品質情報,伊良湖_降水量の合計(mm),現象なし情報,品質情報,伊良湖_日照時間(時間),現象なし情報,品質情報,水戸_日最高気温の平均(℃),品質情報,水戸_日最低気温の平均(℃),品質情報,水戸_猛暑日数(日),品質情報,水戸_熱帯夜日数(日),品質情報,水戸_降水量の合計(mm),現象なし情報,品質情報,水戸_日照時間(時間),現象なし情報,品質情報,千葉_日最高気温の平均(℃),品質情報,千葉_日最低気温の平均(℃),品質情報,千葉_猛暑日数(日),品質情報,千葉_熱帯夜日数(日),品質情報,千葉_降水量の合計(mm),現象なし情報,品質情報,千葉_日照時間(時間),現象なし情報,品質情報
2000/1,11.6,8,2.7,8,0,8,0,8,88.0,0,8,130.1,0,8,0.1,8,-6.4,8,0,8,0,8,131.5,0,8,90.6,0,8,10.3,8,3.7,8,0,8,0,8,43.5,0,8,166.1,0,8,10.4,8,0.1,8,0,8,0,8,66.5,0,8,168.9,0,8,10.9,8,3.6,8,0,8,0,8,71.0,0,8,146.1,0,8
2000/2,10.4,8,0.6,8,0,8,0,8,49.0,0,8,154.4,0,8,-0.5,8,-7.4,8,0,8,0,8,89.5,0,8,121.7,0,5,8.1,8,1.7,8,0,8,0,8,27.0,0,8,176.3,0,8,8.7,8,-2.9,8,0,8,0,8,27.5,0,8,191.1,0,8,9.9,8,1.7,8,0,8,0,8,6.0,0,8,205.8,0,8
2000/3,15.9,8,4.9,8,0,8,0,8,96.0,0,8,199.4,0,8,3.4,8,-3.2,8,0,8,0,8,103.0,0,8,129.1,0,8,12.6,8,3.8,8,0,8,0,8,118.0,0,8,212.2,0,8,13.2,8,0.3,8,0,8,0,8,59.0,0,8,226.9,0,8,13.6,8,4.8,8,0,8,0,8,68.5,0,8,217.3,0,8
2000/4,20.8,8,9.5,8,0,8,0,8,76.0,0,8,186.5,0,8,9.8,8,2.9,8,0,8,0,8,123.5,0,8,139.4,0,8,18.0,8,8.8,8,0,8,0,8,110.0,0,8,208.3,0,8,18.0,8,6.2,8,0,8,0,8,153.0,0,8,186.3,0,8,18.4,8,10.2,8,0,8,0,8,102.0,0,8,165.1,0,8
2000/5,26.0,8,14.6,8,0,8,0,8,250.0,0,8,214.3,0,8,18.7,8,10.2,8,0,8,0,8,76.0,0,8,146.0,0,8,23.6,8,15.6,8,0,8,0,8,91.0,0,8,204.6,0,8,21.9,8,13.2,8,0,8,0,8,147.5,0,8,172.1,0,8,23.3,8,15.6,8,0,8,0,8,126.0,0,8,193.5,0,8
2000/6,28.0,8,19.8,8,0,8,0,8,445.5,0,8,132.7,0,5,21.7,8,13.3,8,0,8,0,8,50.5,0,8,169.4,0,8,25.4,8,19.1,8,0,8,0,8,214.0,0,8,129.4,0,8,24.4,8,17.0,8,0,8,0,8,196.5,0,8,140.1,0,8,25.3,8,18.7,8,0,8,0,8,200.5,0,8,117.6,0,8
2000/7,33.1,8,24.3,8,7,8,10,8,160.0,0,8,212.8,0,8,26.5,8,19.0,8,1,8,0,8,194.0,0,8,133.0,0,8,30.9,8,23.6,8,2,8,6,8,20.0,0,8,229.1,0,8,30.1,8,21.8,8,1,8,2,8,254.5,0,8,207.9,0,8,30.6,8,24.0,8,0,8,12,8,237.0,0,8,216.8,0,8
2000/8,33.5,8,24.4,8,8,8,9,8,148.5,0,8,214.8,0,8,28.3,8,20.6,8,1,8,0,8,103.5,0,8,194.8,0,8,32.0,8,24.3,8,1,8,6,8,97.5,0,8,267.7,0,8,30.6,8,22.7,8,0,8,0,8,32.5,0,8,198.4,0,8,31.6,8,24.5,8,0,8,15,8,88.5,0,8,211.4,0,8
2000/9,29.9,8,20.4,8,0,8,2,8,131.5,0,8,182.9,0,8,22.2,8,15.4,8,0,8,0,8,307.0,0,8,112.1,0,8,28.3,8,21.8,8,0,8,6,8,279.0,0,8,188.2,0,8,27.5,8,19.7,8,1,8,0,8,245.5,0,8,126.7,0,8,28.5,8,21.9,8,0,8,6,8,197.5,0,8,134.4,0,8
2000/10,24.9,8,16.4,8,0,8,0,8,131.5,0,8,127.1,0,8,15.9,8,7.4,8,0,8,0,8,24.5,0,8,149.6,0,8,22.5,8,16.2,8,0,8,0,8,178.5,0,8,127.6,0,8,20.7,8,12.4,8,0,8,0,8,138.5,0,8,122.1,0,8,21.8,8,15.4,8,0,8,0,8,130.0,0,8,96.6,0,8
