年月,熊本_平均気温(℃),品質情報,熊本_平年値(℃),品質情報,札幌_平均気温(℃),品質情報,札幌_平年値(℃),品質情報,伊良湖_平均気温(℃),品質情報,伊良湖_平年値(℃),品質情報,水戸_平均気温(℃),品質情報,水戸_平年値(℃),品質情報,千葉_平均気温(℃),品質情報,千葉_平年値(℃),品質情報
2000/1,7.0,8,6.0,8,-3.1,8,-3.2,8,6.9,8,6.0,8,4.9,8,3.3,8,7.1,8,6.1,8
2000/2,5.3,8,7.4,8,-3.8,8,-2.7,8,4.6,8,6.3,8,2.5,8,4.1,8,5.6,8,6.6,8
2000/3,10.3,8,10.9,8,0.2,8,1.1,8,8.2,8,9.4,8,6.8,8,7.4,8,9.1,8,9.6,8
2000/4,15.0,8,15.8,8,6.1,8,7.3,8,13.5,8,14.3,8,12.1,8,12.3,8,14.3,8,14.5,8
2000/5,20.0,8,20.5,8,14.0,8,13.0,8,19.2,8,18.8,8,17.0,8,17.0,8,18.9,8,18.9,8
2000/6,23.4,8,23.7,8,16.7,8,17.0,8,21.9,8,22.2,8,20.4,8,20.3,8,21.6,8,21.9,8
2000/7,28.1,8,27.5,8,22.2,8,21.1,8,26.6,8,26.1,8,25.4,8,24.2,8,26.7,8,25.7,8
2000/8,28.3,8,28.4,8,23.9,8,22.3,8,27.5,8,27.4,8,25.9,8,25.6,8,27.4,8,27.1,8
2000/9,24.7,8,25.2,8,18.6,8,18.6,8,24.7,8,24.4,8,23.1,8,22.1,8,24.8,8,23.8,8
2000/10,20.3,8,19.6,8,11.6,8,12.1,8,19.2,8,19.1,8,16.3,8,16.6,8,18.2,8,18.6,8
2000/11,14.2,8,13.5,8,3.9,8,5.2,8,14.5,8,13.6,8,10.7,8,10.8,8,12.8,8,13.4,8
2000/12,8.5,8,8.0,8,-2.5,8,-0.9,8,8.4,8,8.6,8,5.2,8,5.6,8,8.1,8,8.6,8
2001/1,5.5,8,6.0,8,-5.7,8,-3.2,8,5.2,8,6.0,8,2.1,8,3.3,8,4.3,8,6.1,8
2001/2,7.7,8,7.4,8,-5.5,8,-2.7,8,6.2,8,6.3,8,3.4,8,4.1,8,5.9,8,6.6,8
2001/3,10.8,8,10.9,8,0.2,8,1.1,8,8.7,5,9.4,8,6.7,8,7.4,8,9.4,8,9.6,8
2001/4,16.1,8,15.8,8,8.3,8,7.3,8,14.4,8,14.3,8,12.8,8,12.3,8,14.8,8,14.5,8
2001/5,20.8,8,20.5,8,13.4,8,13.0,8,19.2,8,18.8,8,17.4,8,17.0,8,18.7,8,18.9,8
2001/6,24.4,8,23.7,8,16.7,8,17.0,8,22.8,8,22.2,8,20.8,8,20.3,8,22.2,8,21.9,8
2001/7,28.2,8,27.5,8,20.7,8,21.1,8,27.4,8,26.1,8,26.3,8,24.2,8,27.5,8,25.7,8
2001/8,28.7,8,28.4,8,21.1,8,22.3,8,26.9,8,27.4,8,23.7,8,25.6,8,25.6,8,27.1,8
2001/9,24.9,8,25.2,8,17.1,8,18.6,8,23.7,8,24.4,8,20.8,8,22.1,8,22.4,8,23.8,8
2001/10,20.0,8,19.6,8,12.1,8,12.1,8,19.2,8,19.1,8,16.0,8,16.6,8,18.3,8,18.6,8
2001/11,11.9,8,13.5,8,5.0,8,5.2,8,12.7,8,13.6,8,9.8,8,10.8,8,12.5,8,13.4,8
2001/12,7.5,8,8.0,8,-3.4,8,-0.9,8,8.2,8,8.6,8,4.5,8,5.6,8,7.8,8,8.6,8
2002/1,7.4,8,6.0,8,-2.5,8,-3.2,8,6.6,8,6.0,8,4.6,8,3.3,8,7.3,8,6.1,8
2002/2,7.8,8,7.4,8,-0.6,8,-2.7,8,6.6,8,6.3,8,5.1,8,4.1,8,7.4,8,6.6,8
2002/3,12.4,8,10.9,8,2.5,8,1.1,8,10.7,8,9.4,8,9.2,8,7.4,8,11.8,8,9.6,8
2002/4,17.0,8,15.8,8,9.6,8,7.3,8,15.5,8,14.3,8,13.4,8,12.3,8,15.3,8,14.5,8
2002/5,20.9,8,20.5,8,13.6,8,13.0,8,18.9,8,18.8,8,16.0,8,17.0,8,17.7,8,18.9,8
2002/6,24.2,8,23.7,8,15.9,8,17.0,8,21.9,8,22.2,8,19.1,8,20.3,8,20.9,8,21.9,8
2002/7,28.4,8,27.5,8,20.5,8,21.1,8,26.7,8,26.1,8,25.5,8,24.2,8,26.9,8,25.7,8
2002/8,28.1,8,28.4,8,20.1,8,22.3,8,27.7,8,27.4,8,25.9,8,25.6,8,27.2,8,27.1,8
2002/9,25.4,8,25.2,8,17.7,8,18.6,8,23.9,8,24.4,8,21.0,8,22.1,8,22.4,8,23.8,8
